Right Hand
==============
     JOINT_INDEX_JT1)	X: 0.111571, Y: 0.050823, Z: 0.297364 
     JOINT_INDEX_JT2)	X: 0.111288, Y: 0.029323, Z: 0.302018 
     JOINT_INDEX_TIP)	X: 0.111032, Y: 0.009777, Z: 0.306248 
     JOINT_MIDDLE_BASE)	X: 0.157253, Y: 0.045991, Z: 0.273869 
     JOINT_MIDDLE_JT1)	X: 0.131741, Y: 0.058192, Z: 0.312654 
     JOINT_MIDDLE_JT2)	X: 0.133324, Y: 0.031161, Z: 0.319781 
     JOINT_MIDDLE_TIP)	X: 0.134454, Y: 0.011853, Z: 0.324872 
     JOINT_RING_BASE)	X: 0.174725, Y: 0.047334, Z: 0.285868 
     JOINT_RING_JT1)	X: 0.150254, Y: 0.058058, Z: 0.319561 
     JOINT_RING_JT2)	X: 0.148476, Y: 0.036433, Z: 0.323194 
     JOINT_RING_TIP)	X: 0.146860, Y: 0.016774, Z: 0.326497 
     JOINT_PINKY_BASE)	X: 0.194653, Y: 0.042319, Z: 0.304153 
     JOINT_PINKY_JT1)	X: 0.164484, Y: 0.050462, Z: 0.323965 
     JOINT_PINKY_JT2)	X: 0.159552, Y: 0.034505, Z: 0.320799 
     JOINT_PINKY_TIP)	X: 0.155200, Y: 0.020424, Z: 0.318005 
Right Hand
==============
     JOINT_WRIST)	X: 0.153309, Y: -0.022179, Z: 0.321404 
     JOINT_CENTER)	X: 0.156017, Y: 0.012078, Z: 0.297256 
     JOINT_THUMB_BASE)	X: 0.137841, Y: -0.020142, Z: 0.306903 
     JOINT_THUMB_JT1)	X: 0.123694, Y: -0.010699, Z: 0.272922 
     JOINT_THUMB_JT2)	X: 0.100104, Y: 0.011551, Z: 0.270754 
     JOINT_THUMB_TIP)	X: 0.090059, Y: 0.029001, Z: 0.262398 
     JOINT_INDEX_BASE)	X: 0.137709, Y: 0.037991, Z: 0.261972 
     JOINT_INDEX_JT1)	X: 0.111880, Y: 0.049939, Z: 0.295530 
     JOINT_INDEX_JT2)	X: 0.111510, Y: 0.028591, Z: 0.300833 
     JOINT_INDEX_TIP)	X: 0.111174, Y: 0.009183, Z: 0.305654 
     JOINT_MIDDLE_BASE)	X: 0.158596, Y: 0.044704, Z: 0.274258 
     JOINT_MIDDLE_JT1)	X: 0.131303, Y: 0.057917, Z: 0.311467 
     JOINT_MIDDLE_JT2)	X: 0.132717, Y: 0.031130, Z: 0.319496 
     JOINT_MIDDLE_TIP)	X: 0.133726, Y: 0.011997, Z: 0.325232 
     JOINT_RING_BASE)	X: 0.175505, Y: 0.046539, Z: 0.286978 
     JOINT_RING_JT1)	X: 0.149488, Y: 0.058126, Z: 0.319194 
     JOINT_RING_JT2)	X: 0.147671, Y: 0.036611, Z: 0.323416 
     JOINT_RING_TIP)	X: 0.146019, Y: 0.017053, Z: 0.327254 
     JOINT_PINKY_BASE)	X: 0.194621, Y: 0.042231, Z: 0.306281 
     JOINT_PINKY_JT1)	X: 0.163549, Y: 0.050770, Z: 0.324463 
     JOINT_PINKY_JT2)	X: 0.158854, Y: 0.034687, Z: 0.321578 
     JOINT_PINKY_TIP)	X: 0.154711, Y: 0.020497, Z: 0.319033 
Right Hand
==============
     JOINT_WRIST)	X: 0.152948, Y: -0.022357, Z: 0.322453 
     JOINT_CENTER)	X: 0.156207, Y: 0.011606, Z: 0.297961 
     JOINT_THUMB_BASE)	X: 0.137869, Y: -0.020549, Z: 0.307518 
     JOINT_THUMB_JT1)	X: 0.124613, Y: -0.011573, Z: 0.273055 
     JOINT_THUMB_JT2)	X: 0.101027, Y: 0.010574, Z: 0.269978 
     JOINT_THUMB_TIP)	X: 0.091161, Y: 0.027888, Z: 0.261139 
     JOINT_INDEX_BASE)	X: 0.138780, Y: 0.037022, Z: 0.261878 
     JOINT_INDEX_JT1)	X: 0.112025, Y: 0.049303, Z: 0.294580 
     JOINT_INDEX_JT2)	X: 0.111574, Y: 0.028021, Z: 0.300137 
     JOINT_INDEX_TIP)	X: 0.111163, Y: 0.008674, Z: 0.305190 
     JOINT_MIDDLE_BASE)	X: 0.159310, Y: 0.043952, Z: 0.274635 
     JOINT_MIDDLE_JT1)	X: 0.130991, Y: 0.057540, Z: 0.310931 
     JOINT_MIDDLE_JT2)	X: 0.132264, Y: 0.030859, Z: 0.319329 
     JOINT_MIDDLE_TIP)	X: 0.133174, Y: 0.011802, Z: 0.325328 
     JOINT_RING_BASE)	X: 0.175866, Y: 0.045999, Z: 0.287780 
     JOINT_RING_JT1)	X: 0.148961, Y: 0.057902, Z: 0.319140 
